County_Name,Pct_White_16,Pct_Trump_16,HH_Inc_12,HH_Inc_16,Region,Region_Abv,Inc_Change
"Alameda County, California",32.63091532,14.66100944,67385.951,70804.67234,Bay Area,Bay,5.073344353335614
"Alpine County, California",67.90540541,36.04651163,NA,NA,Northern California,NorCal,NA
"Amador County, California",79.63639315,59.12371715,50374.5695,50583.50857,Northern California,NorCal,0.4147709292086364
"Butte County, California",73.43228648,47.23954627,40836.17275,39349.62725,Northern California,NorCal,-3.6402664595937195
"Calaveras County, California",82.29396923,58.39816736,51527.8835,47452.63844,Northern California,NorCal,-7.908815156360927
"Colusa County, California",36.89434015,53.54342581,49152.47125,48733.36832,Northern California,NorCal,-0.8526589189551703
"Contra Costa County, California",45.56192883,24.87392074,73671.70075,73509.81508,Bay Area,Bay,-0.21973928706946988
"Del Norte County, California",63.07731287,53.71416614,37337.5985,37573.10236,Northern California,NorCal,0.6307418512735817
"El Dorado County, California",78.72622951,52.61937579,66067.74325,64378.84965,Northern California,NorCal,-2.5563058717008666
"Fresno County, California",30.75968686,43.9393027,43099.45725,40766.05773,Central California,Central,-5.413988177310514
"Glenn County, California",53.06334001,61.11932418,40178.48225,36984.17948,Northern California,NorCal,-7.950282318093292
"Humboldt County, California",75.38281724,31.0113763,38472.0675,37858.69448,Northern California,NorCal,-1.594333395261378
"Imperial County, California",11.93130023,26.41658522,38872.52375,37747.82797,Southern California,SoCal,-2.8932924119700405
"Inyo County, California",64.02379133,52.5352461,NA,NA,Central California,Central,NA
"Kern County, California",36.03462265,53.07274239,44970.76575,44158.57281,Central California,Central,-1.8060464981074973
"Kings County, California",33.63214673,53.34807607,45945.05225,41899.55689,Central California,Central,-8.805072933614959
"Lake County, California",72.25950434,43.2682887,35944.01075,32046.62876,Northern California,NorCal,-10.842924617142236
"Lassen County, California",66.05415558,71.96883314,48922.56225,45638.8624,Northern California,NorCal,-6.712035713133574
"Los Angeles County, California",26.72512256,22.41333625,52993.08225,51399.48605,Southern California,SoCal,-3.007177790644551
"Madera County, California",35.78824511,54.17749119,45168.63825,40570.04575,Central California,Central,-10.180941197624009
"Marin County, California",71.85473361,15.63188845,85708.9445,88968.15375,Bay Area,Bay,3.8026477504923655
"Mariposa County, California",81.50184188,58.40937254,NA,NA,Central California,Central,NA
"Mendocino County, California",66.37531604,29.05248552,41196.11225,38590.41342,Northern California,NorCal,-6.325108578662059
"Merced County, California",29.47875668,40.57833844,41049.12125,39377.12214,Central California,Central,-4.073166633256484
"Modoc County, California",77.64862172,71.17212249,NA,NA,Northern California,NorCal,NA
"Mono County, California",65.86008113,40.01137225,NA,NA,Northern California,NorCal,NA
"Monterey County, California",31.0612946,26.1566023,56669.74175,54004.40548,Central California,Central,-4.703279365129628
"Napa County, California",53.71778758,28.36961481,65553.27475,66173.11318,Bay Area,Bay,0.9455491466503793
"Nevada County, California",85.63448535,42.53208337,54068.1895,50935.62059,Northern California,NorCal,-5.793737387859088
"Orange County, California",41.97265127,42.34982101,71202.0635,69309.3049,Southern California,SoCal,-2.6582917782993762
"Placer County, California",74.26916839,52.03375647,69119.691,68228.13474,Northern California,NorCal,-1.2898730406650862
"Plumas County, California",83.69947744,56.01488218,42738.5755,44457.46891,Northern California,NorCal,4.02187810400935
"Riverside County, California",37.2491923,44.35014526,53798.706,51417.2247,Southern California,SoCal,-4.426651637308897
"Sacramento County, California",46.37003988,33.93148946,52620.8935,51006.57516,Central California,Central,-3.067827687114431
"San Benito County, California",36.14752545,35.76445904,60246.52275,65468.0022,Central California,Central,8.666856129883458
"San Bernardino County, California",30.51072883,41.47508421,51588.1875,48310.30173,Southern California,SoCal,-6.35394637580551
"San Diego County, California",46.71188766,36.571188,59713.20925,59006.70223,Southern California,SoCal,-1.1831670561233438
"San Francisco County, California",41.17316373,9.287516757,69539.9345,77784.82756,Bay Area,Bay,11.85634286152513
"San Joaquin County, California",33.856279549999996,39.67417003,50782.56375,48821.17459,Central California,Central,-3.862327962912268
"San Luis Obispo County, California",69.68601981,41.60018962,56184.483,56776.06813,Central California,Central,1.0529332983272257
"San Mateo County, California",40.42713594,18.42619217,82683.37975,87403.60562,Bay Area,Bay,5.70879647671878
"Santa Barbara County, California",45.93497878,31.88318079,59100.74675,57793.37919,Southern California,SoCal,-2.2120999004128468
"Santa Clara County, California",33.16707833,20.58038195,85506.36075,89733.57611,Bay Area,Bay,4.943743743648904
"Santa Cruz County, California",58.18898539,17.41796757,62726.52475,62163.29339,Bay Area,Bay,-0.8979157736616008
"Shasta County, California",80.95498471,64.67964973,41832.131,40428.13662,Northern California,NorCal,-3.3562583268827586
"Sierra County, California",85.94336404,57.26775956,NA,NA,Northern California,NorCal,NA
"Siskiyou County, California",77.62205734,55.3435487,35756.503,34168.17022,Northern California,NorCal,-4.442080871275351
"Solano County, California",39.43262973,31.25583187,65020.9035,61399.6449,Bay Area,Bay,-5.569376008440118
"Sonoma County, California",64.39964964,22.23019809,59894.12125,59276.32957,Bay Area,Bay,-1.0314729845042927
"Stanislaus County, California",44.12103415,45.59734179,46986.2385,45757.7113,Central California,Central,-2.614653224475496
"Sutter County, California",47.95295893,54.2194911,47593.0475,46956.84343,Northern California,NorCal,-1.3367584204394556
"Tehama County, California",69.82623185,64.80675924,37979.27075,36086.60424,Northern California,NorCal,-4.9834198304084145
"Trinity County, California",82.97420334,49.45480127,NA,NA,Northern California,NorCal,NA
"Tulare County, California",30.09353422,51.89791159,41273.37675,37950.93541,Central California,Central,-8.049841330222646
"Tuolumne County, California",81.21008466,56.99792393,45387.24025,44994.94974,Northern California,NorCal,-0.8643189315746206
"Ventura County, California",46.64883586,37.62104593,72066.10675,69706.65046,Southern California,SoCal,-3.2740165889424877
"Yolo County, California",48.0867645,25.26373493,53953.235,51143.16269,Northern California,NorCal,-5.208348137048692
"Yuba County, California",57.03885137,57.2658492,43947.48225,43228.1811,Northern California,NorCal,-1.6367289163647123
